run_id,phase,variant,scenario_id,model,env_config,outcome,correctness,duration_seconds,holmes_duration_seconds,llm_calls,tool_calls,total_tokens,prompt_tokens,completion_tokens,cached_tokens,cost,error_type,error_message,nodeid
tool_agent_pilot-20260916-161159,pilot,tool_agent_pilot,80_pvc_storage_class_mismatch,openai/qwen-plus,default,passed,1,57.92256424999505,35.66010904312134,6,17,72503,71155,1348,33792,0.0,,,tests/llm/test_ask_holmes.py::test_ask_holmes[80_pvc_storage_class_mismatch-openai/qwen-plus-default]
tool_agent_pilot-20260916-161159,pilot,tool_agent_pilot,176_network_policy_blocking_traffic_no_skills,openai/qwen-plus,default,incomplete,0,,,,,0,0,0,,0,MissingCallReport,pytest report has no call phase; the run was interrupted or the worker crashed,tests/llm/test_ask_holmes.py::test_ask_holmes[176_network_policy_blocking_traffic_no_skills-openai/qwen-plus-default]
